row_key,excel_row,item_id,setor,cotacao,data_cotacao,pedido,data_pedido,fornecedor,produto,quantidade,valor,origem,status_compra,disciplina,observacao,source,metadata
xlsx-25-05-26-r0021,21,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,AREIA,4.0,600.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 21, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0022,22,01,SETOR 1,40680,2025-12-10,,,,PINUS 3 X 3 - 3MTS,15.0,0.0,BRASIL,Cancelado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 22, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0023,23,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,PEDRA BRITADA,3.0,630.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 23, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0024,24,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,"VERGALHAO CA 50 5/16""",120.0,479.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 24, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0025,25,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,COLUNA DE FERRO 5/16 20X7,72.0,1188.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 25, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0026,26,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,PREGO 17 X 21 COM CABECA,2.0,44.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 26, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0027,27,01,SETOR 1,40680,2025-12-10,,,,PARAFUSO GALVANIZADO PARA TELHA CABEÇA 10MM X 30MM,500.0,0.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 27, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0028,28,01,SETOR 1,40680,2025-12-10,,,,"CABO DE ACO GALVANIZADO 3/8"" 6 X 19S",80.0,0.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 28, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0029,29,01,SETOR 1,40680,2025-12-10,42720,2026-03-04,,SACO DE CIMENTO CPIII,30.0,1197.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 29, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0030,30,15,SETOR 15,,2026-01-22,,,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,FABRICAR E INSTALAR 3 PORTÕES - ESTOQUE,1.0,12000.0,BRASIL,Em Orçamento,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 30, ""original_status"": ""Em Orçamento""}"
xlsx-25-05-26-r0031,31,01,SETOR 1,,,,,PROJECARD,DETALHAMENTOS ESTRUTURAL + PROJETO (REPLICAÇÃO DE GALPÃO PARA ARMAZENAMENTO),1.0,7960.0,BRASIL,Em Orçamento,PROJETO,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 31, ""original_status"": ""Em Orçamento""}"
xlsx-25-05-26-r0032,32,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37071,2025-04-17,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,LONA PLASTICA PRETA,30.0,90.6,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 32, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0033,33,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37071,2025-04-17,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,"TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M",10.0,2871.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 33, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0034,34,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37071,2025-04-17,MARIO TELHAS COMERCIO DE MATERIAIS DE CONSTRUÇÃO,IMPERMEABILIZANTE VIAPLUS 7000 FIBRAS,54.0,776.4,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 34, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0035,35,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37072,2025-04-17,JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA,SACO DE CIMENTO,8.0,263.2,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 35, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0036,36,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37072,2025-04-17,JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA,MALHA 4.2 Q.92 15 X 15 3 X 2,4.0,232.44,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 36, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0037,37,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37072,2025-04-17,JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA,AREIA,2.0,198.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 37, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0038,38,01A,SETOR 1A - ABASTECIMENTO,23189,2025-04-09,37072,2025-04-17,JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA,BLOCO DE CIMENTO 10X20X40,100.0,310.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 38, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0039,39,01A,SETOR 1A - ABASTECIMENTO,25155,2025-04-09,37211,2025-05-05,COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS,PARAFUSO AUTO BROCANTE N 12 X 3/4 Nº3,100.0,40.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 39, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0040,40,13,SETOR 13,,2026-01-22,,,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,FABRICAR UM MEZANINO - ALMOXARIFADO,1.0,27500.0,BRASIL,Em Orçamento,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 40, ""original_status"": ""Em Orçamento""}"
xlsx-25-05-26-r0041,41,14,SETOR 14,41869,2026-02-12,42517,2026-02-24,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,"PLANO DE MELHORIA DO SETOR 14, TELHADO DA LAJE DA SALA DE CONTROLE.",1.0,25000.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 41, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0042,42,01A,SETOR 1A,27625,2025-09-02,39207,2025-09-03,EDFER - COMERCIO DE FERRO E ACO LTDA,"PERFIL AC U SIMPLES 100 X 40 X 2,65 ESP",120.0,2902.8,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 42, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0043,43,01A,SETOR 1A,27625,2025-09-02,39208,2025-09-03,LAGOS TELHAS LTDA,"TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M",45.0,9045.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 43, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0044,44,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,PEDRA BRITADA,1.0,210.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 44, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0045,45,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,BLOCO DE CIMENTO 10X20X40,60.0,228.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 45, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0046,46,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,RADIES 5/16 70X70,6.0,239.4,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 46, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0047,47,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,COLUNA DE FERRO 5/16 20X7,12.0,1380.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 47, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0048,48,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,AREIA,2.0,300.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 48, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0049,49,01A,SETOR 1A,41292,2026-01-12,42236,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,SACO DE CIMENTO CPIII,10.0,399.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 49, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0050,50,01A,SETOR 1A,41292,2026-01-12,42237,2026-02-04,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,SIKA TOP 100 CX. 18KG,2.0,150.0,BRASIL,Comprado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 50, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0051,51,01A,SETOR 1A,41643,2026-01-12,,,,BETONEIRA 400L PRIME C/MOTOR MONO 2CV 220V 60HZ 4P C/KIT SEGURANCA BIVOLT,1.0,0.0,BRASIL,Cancelado,CIVIL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 51, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0052,52,02,SETOR 2,29817,2025-12-04,41097,2025-12-04,GON PETRO COMERCIAL LTDA,"PERFIL U ENRIJECIDO 3"" X 1.1/2"" X 3MM",150.0,8970.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 52, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0053,53,02,SETOR 2,29817,2025-12-04,41098,2025-12-04,COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS,PARAFUSO GALVANIZADO PARA TELHA CABEÇA 10MM X 30MM,500.0,300.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 53, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0054,54,02,SETOR 2,29817,2025-12-04,41099,2025-12-04,LAGOS TELHAS LTDA,"TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M",50.0,10050.0,BRASIL,Cancelado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 54, ""original_status"": ""Cancelado""}"
xlsx-25-05-26-r0055,55,02,SETOR 2,41641,2026-02-04,42278,2026-02-06,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO - ESTRUTURA DE PAREDE DA AREA 2,1.0,11000.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 55, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0056,56,03,SETOR 3,25427,2025-06-04,37762,2025-06-11,CONSTRUTORA SORDI LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1.0,37600.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 56, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0057,57,03,SETOR 3,27860,2025-09-29,40626,2025-11-13,LAGOS TELHAS LTDA,TELHAS SANDUICHE H=100MM,400.0,67029.9,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 57, ""original_status"": ""Comprado""}"
xlsx-25-05-26-r0058,58,03,SETOR 3,29786,2025-12-01,41010,2025-12-02,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,SERVIÇOS DIVERSIFICADOS NÃO LIGADOS A PRODUÇÃO,1.0,18900.0,BRASIL,Comprado,ESTRUTURAL,,Melhorias base STEP 25-05-26.xlsx,"{""source_sheet"": ""Custos x Execução"", ""source_row"": 58, ""original_status"": ""Comprado""}"
