,,,,,,,,,,,
,,,,,,,Comprado,#NAME?,Setor, ,5.5
,,,,,,,Tota Orçado,#NAME?,23281362.249999996,custo de importação,1.5
,,,,,,,,,,,
SETOR,COTACAO,"DT
COTACAO",PEDIDO,"DT
PEDIDO",FORNECEDOR ,PRODUTO,"QT
PEDIDA",VALOR,ORIGEM,"STATUS DA 
COMRPA ",DISCIPLINA
SETOR 1A - ABASTECIMENTO,23189,45756,37072,45764,JC TOLEDO MATERIAIS DE CONSTRUCAO LTDA,BLOCO DE CIMENTO 10X20X40,100,310,BRASIL,Comprado,CIVIL
SETOR 1A - ABASTECIMENTO,25155,45756,37211,45782,COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS,PARAFUSO AUTO BROCANTE N 12 X 3/4 Nº3,100,40,BRASIL,Comprado,ESTRUTURAL
SETOR 13,,46044,,,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,FABRICAR UM MEZANINO - ALMOXARIFADO ,1,27500,BRASIL,Em Orçamento,ESTRUTURAL
SETOR 14,41869,46065,42517,46077,FORT CONSTRUCOES COMERCIO E SERVICOS LTDA,"PLANO DE MELHORIA DO SETOR 14, TELHADO DA LAJE DA SALA DE CONTROLE.",1,25000,BRASIL,Comprado,ESTRUTURAL
SETOR 1A,27625,45902,39207,45903,EDFER - COMERCIO DE FERRO E ACO LTDA,"PERFIL AC U SIMPLES 100 X 40 X 2,65 ESP",120,2902.8,BRASIL,Comprado,ESTRUTURAL
SETOR 1A,27625,45902,39208,45903,LAGOS TELHAS LTDA,"TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M",45,9045,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,PEDRA BRITADA,1,210,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,BLOCO DE CIMENTO 10X20X40,60,228,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,RADIES 5/16 70X70,6,239.4,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,COLUNA DE FERRO 5/16 20X7,12,1380,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,AREIA,2,300,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42236,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,SACO DE CIMENTO CPIII,10,399,BRASIL,Comprado,CIVIL
SETOR 1A,41292,46034,42237,46057,ATACADAO 1000 MATERIAIS DE CONSTRUCAO LTDA ME,SIKA TOP 100 CX. 18KG,2,150,BRASIL,Comprado,CIVIL
SETOR 1A,41643,46034,,,,BETONEIRA 400L PRIME C/MOTOR MONO 2CV 220V 60HZ 4P C/KIT SEGURANCA BIVOLT,1,0,BRASIL,Cancelado,CIVIL
SETOR 2,29817,45995,41097,45995,GON PETRO COMERCIAL LTDA,"PERFIL U ENRIJECIDO 3"" X 1.1/2"" X 3MM",150,8970,BRASIL,Comprado,ESTRUTURAL
SETOR 2,29817,45995,41098,45995,COMERCIAL OFFSHORE MACAE PARAFUSOS E FERRAMENTAS,PARAFUSO GALVANIZADO PARA TELHA CABEÇA 10MM X 30MM,500,300,BRASIL,Comprado,ESTRUTURAL
SETOR 2,29817,45995,41099,45995,LAGOS TELHAS LTDA,"TELHA TRAPEZOIDAL GALVANIZADA 6 X 1,10 X 0,43M",50,10050,BRASIL,Cancelado,ESTRUTURAL
